ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
4.5442,6.7421,-0.0958
4.3622,6.9576,-0.3687
4.3622,6.9576,-0.3687
5.0374,7.4986,-0.1963
5.0374,7.4986,-0.1963
5.2433,7.8195,0.0335
5.2433,7.8195,0.0335
3.4524,8.6335,-2.0925
3.4524,8.6335,-2.0925
4.7597,8.576,-2.3942
4.7597,8.576,-2.3942
5.1858,9.5337,4.1611
5.1858,9.5337,4.1611
2.9928,9.912,1.81
3.4477,9.8497,-3.2753
3.4477,9.8497,-3.2753
5.4779,10.0078,-1.3072
5.4779,10.0078,-1.3072
4.1611,10.3382,1.0774
4.1611,10.3382,1.0774
4.6448,9.5529,1.4174
4.6448,9.5529,1.4174
5.1523,10.228,-1.1205
5.5641,10.6159,-0.1724
5.5641,10.6159,-0.1724
5.7365,10.9128,2.1787
5.6024,11.2527,2.7485
5.6024,11.2527,2.7485
5.2577,11.5831,2.624
5.1763,12.2775,1.3072
5.1763,12.2775,1.3072
5.5833,13.0101,0.6464
5.5833,13.0101,0.6464
5.5833,13.0101,0.6464
5.0087,13.2591,0.1484
5.0087,13.2591,0.1484
4.3191,11.7843,-4.3958
4.3191,11.7843,-4.3958
4.0654,10.3621,3.893
4.0654,10.3621,3.893
5.6551,9.1746,-2.7773
5.114,9.4906,-0.8332
5.114,9.4906,-0.8332
4.3048,9.2512,0.4118
3.6727,8.5234,0.2011
3.6727,8.5234,0.2011
3.644,8.5569,0.1484
3.644,8.5569,0.1484
5.2433,8.0732,0.431
6.0047,7.8865,0.7183
6.0047,7.8865,0.7183
5.0278,8.6622,0.6273
4.6974,9.2512,-0.407
4.6974,9.2512,-0.407
6.4931,8.3653,-0.7661
6.4931,8.3653,-0.7661
5.6072,7.8147,2.3846
5.6072,7.8147,2.3846
5.6934,7.3694,2.1739
5.6934,7.3694,2.1739
5.7988,8.1307,-1.5754
5.7988,8.1307,-1.5754
5.5737,8.5186,-2.7964
5.5737,8.5186,-2.7964
4.9081,7.7668,-0.0383
4.9081,7.7668,-0.0383
4.9081,7.7668,-0.0383
3.802,7.7764,0.68
3.5051,7.6519,0.8523
3.5051,7.6519,0.8523
4.0462,7.2544,1.312
4.0462,7.2544,1.312
4.5059,6.3398,1.8052
4.5059,6.3398,1.8052
4.7022,5.0901,1.6616
4.6591,4.5538,1.3551
4.6591,4.5538,1.3551
5.3582,4.0223,1.1157
5.3582,4.0223,1.1157
5.6503,4.4245,0.8811
5.6503,4.4245,0.8811
4.7884,4.3144,0.9529
4.7884,4.3144,0.9529
4.1563,3.7972,1.8292
4.1563,3.7972,1.8292
2.7533,2.6336,1.0391
2.7533,2.6336,1.0391
2.1979,1.9489,0.7278
2.1979,1.9489,0.7278
3.6105,2.9497,2.2553
3.6105,2.9497,2.2553
5.6407,4.1372,1.719
5.6407,4.1372,1.719
8.0685,5.612,-0.0862
8.0685,5.612,-0.0862
9.0214,6.948,-1.5275
8.8155,7.0629,-0.7374
8.8155,7.0629,-0.7374
8.8155,7.0629,-0.7374
9.6822,8.8346,3.5147
9.6822,8.8346,3.5147
12.2009,13.9869,7.5322
12.2009,13.9869,7.5322
13.125,17.8799,0.7518
13.125,17.8799,0.7518
11.4587,17.4489,-3.1556
11.4587,17.4489,-3.1556
5.7844,9.7348,0.9242
4.1803,7.4555,0.5219
4.1803,7.4555,0.5219
3.2657,4.9081,0.814
3.2657,4.9081,0.814
2.7485,4.9943,1.3695
2.7485,4.9943,1.3695
2.964,7.0629,1.2115
2.964,7.0629,1.2115
3.6823,9.9838,1.0678
4.1563,10.7356,1.1301
4.1563,10.7356,1.1301
4.2425,10.6255,1.3838
4.2425,10.6255,1.3838
4.142,9.5768,1.4796
4.142,9.5768,1.4796
4.0654,9.0788,1.2833
4.0654,9.0788,1.2833
4.4867,8.6718,0.8859
4.6448,8.509,0.6369
4.6448,8.509,0.6369
4.5969,8.2169,0.2586
4.5969,8.2169,0.2586
4.64,7.7381,-0.1101
4.64,7.7381,-0.1101
4.7118,7.3454,-0.2682
4.7118,7.3454,-0.2682
4.8076,7.0533,-0.2059
4.8076,7.0533,-0.2059
4.865,6.8331,-0.0622
4.865,6.8331,-0.0622
4.865,6.8331,-0.0622
4.5346,6.8043,0.1963
4.4676,6.8809,0.316
4.4101,7.0677,0.3591
4.4101,7.0677,0.3591
4.1755,7.4747,0.1772
4.1755,7.4747,0.1772
4.458,7.7859,-0.091
4.458,7.7859,-0.091
5.0805,8.011,-0.1676
5.0805,8.011,-0.1676
5.0518,7.8817,0.5028
5.0518,7.8817,0.5028
4.2617,7.9009,1.0391
3.2561,7.8961,0.8667
3.2561,7.8961,0.8667
3.2561,7.8961,0.8667
2.6432,8.3558,-3.1699
3.5865,9.4475,-0.5363
3.5865,9.4475,-0.5363
1.7334,11.5975,3.8403
1.7334,11.5975,3.8403
1.7334,11.5975,3.8403
2.0782,9.5864,-1.5275
5.7748,8.2169,-1.743
5.7748,8.2169,-1.743
5.2625,8.6718,0.0048
5.2625,8.6718,0.0048
4.9081,9.323,1.3551
4.9081,9.323,1.3551
4.8507,9.7348,2.8204
4.8507,9.7348,2.8204
4.6495,10.477,3.7062
4.6495,10.477,3.7062
4.9799,11.7029,3.2801
4.9799,11.7029,3.2801
6.3494,12.9718,1.3168
7.0006,13.1537,0.8571
7.0006,13.1537,0.8571
6.1196,11.9375,0.9912
6.1196,11.9375,0.9912
4.9847,11.6358,0.2251
4.9847,11.6358,0.2251
5.3534,12.2775,-1.7095
5.3534,12.2775,-1.7095
3.9265,11.4634,1.1492
3.9265,11.4634,1.1492
4.8507,9.9311,-2.8491
5.1523,9.8354,-2.715
5.1523,9.8354,-2.715
5.1523,9.8354,-2.715
5.0422,9.754,-1.3743
4.5586,9.6247,-0.5794
4.5586,9.6247,-0.5794
3.9744,9.7396,1.2163
3.9744,9.7396,1.2163
3.8786,7.9152,1.5323
3.8786,7.9152,1.5323
4.5538,7.6758,0.8332
4.5538,7.6758,0.8332
5.7221,7.4029,0.7566
5.7221,7.4029,0.7566
5.0757,8.078,0.3926
5.0757,8.078,0.3926
4.5633,9.165,0.2969
4.5633,9.165,0.2969
4.6304,10.2137,-0.2251
4.6304,10.2137,-0.2251
5.5737,8.8873,0.4932
5.5737,8.8873,0.4932
5.8897,8.4946,1.5131
5.8897,8.4946,1.5131
5.6455,8.5617,0.091
5.6455,8.5617,0.091
4.8985,8.6814,-1.3168
3.8882,8.6335,-2.4565
3.8882,8.6335,-2.4565
3.984,7.4077,-0.067
3.984,7.4077,-0.067
3.9313,7.0964,1.1492
3.9313,7.0964,1.1492
3.9313,7.0964,1.1492
3.8307,6.6702,1.3024
3.8307,6.6702,1.3024
4.1994,6.1052,1.7861
4.1994,6.1052,1.7861
5.0422,5.2768,2.5618
5.0422,5.2768,2.5618
6.0094,4.4819,1.7095
6.0094,4.4819,1.7095
6.0669,4.1659,-0.3065
6.0669,4.1659,-0.3065
4.9416,3.9313,-0.4166
4.9416,3.9313,-0.4166
3.7493,3.7685,0.6752
3.7493,3.7685,0.6752
3.0071,3.3519,0.7326
3.0071,3.3519,0.7326
2.8299,2.3367,0.5794
